hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1466    0.002    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.002    0.002    0.002    0.002 {built-in method _win32sysloader.LoadModule}
       32    0.002    0.000    0.005    0.000 enum.py:136(__new__)
      468    0.002    0.000    0.061    0.000 __init__.py:2137(distributions_from_metadata)
     2854    0.002    0.000    0.002    0.000 std.py:169(colour)
     2956    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
     1252    0.001    0.000    0.041    0.000 __init__.py:572(__setitem__)
      429    0.001    0.000    0.029    0.000 artist.py:1356(get_valid_values)
     2028    0.001    0.000    0.002    0.000 version.py:135(_parse_version_parts)
      911    0.001    0.000    0.006    0.000 {built-in method builtins.any}
      620    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
    12351    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     4235    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
   621/92    0.001    0.000    1.335    0.015 {built-in method builtins.__import__}
      876    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
     1628    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      716    0.001    0.000    0.003    0.000 ntpath.py:61(isabs)
     1095    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:185(cb)
     2854    0.001    0.000    0.001    0.000 utils.py:61(__format__)
2833/2657    0.001    0.000    0.002    0.000 abstract.py:120(__eq__)
     1957    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
      234    0.001    0.000    0.016    0.000 __init__.py:2587(from_location)
      254    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
     9511    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     1674    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
      254    0.001    0.000    0.090    0.000 sre_compile.py:759(compile)
 1777/648    0.001    0.000    0.016    0.000 __init__.py:2396(yield_lines)
       50    0.001    0.000    0.008    0.000 traceback.py:321(extract)
     1095    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
     1755    0.001    0.000    0.027    0.000 artist.py:1422(is_alias)
      881    0.001    0.000    0.003    0.000 copy.py:258(_reconstruct)
     5956    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     5009    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
     1352    0.001    0.000    0.004    0.000 base.py:375(insert_func_defn)
     4633    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
      843    0.001    0.000    0.002    0.000 inspect.py:494(unwrap)
     1313    0.001    0.000    0.001    0.000 utils.py:305(__setitem__)
  576/556    0.001    0.000    0.034    0.000 {built-in method builtins.sorted}
     1652    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:385(cached)
       12    0.001    0.000    0.021    0.002 artist.py:1328(get_aliases)
     3361    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      775    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1300    0.001    0.000    0.002    0.000 context.py:486(_insert_global)
        2    0.001    0.001    0.001    0.001 {method 'argmax' of 'numpy.ndarray' objects}
        2    0.001    0.001    0.004    0.002 decoder.py:343(raw_decode)
      914    0.001    0.000    0.235    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
     3149    0.001    0.000    0.003    0.000 {built-in method builtins.issubclass}
     7575    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3226    0.001    0.000    0.001    0.000 inspect.py:2847(<genexpr>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
      173    0.001    0.000    0.004    0.000 deprecation.py:183(deprecate)
      948    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1256    0.001    0.000    0.001    0.000 templates.py:1227(register_global)
      290    0.001    0.000    0.004    0.000 overrides.py:93(verify_matching_signatures)
     3110    0.001    0.000    0.001    0.000 enum.py:580(__new__)
      776    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
     3784    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2032    0.001    0.000    0.003    0.000 castgraph.py:48(get)
      776    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
      133    0.001    0.000    0.002    0.000 pyparsing.py:3260(__init__)
  1329/45    0.001    0.000    1.566    0.035 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1606    0.001    0.000    0.002    0.000 event.py:84(__init__)
      803    0.001    0.000    0.003    0.000 event.py:388(end_event)
     1151    0.001    0.000    0.001    0.000 base.py:141(append)
      254    0.001    0.000    0.063    0.000 sre_parse.py:937(parse)
     6820    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1316    0.001    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     1585    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      163    0.001    0.000    0.042    0.000 templates.py:1081(_init_once)
      380    0.001    0.000    0.042    0.000 __init__.py:602(__getitem__)
      803    0.001    0.000    0.003    0.000 event.py:374(start_event)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     5645    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2323    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     5645    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      679    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
     2805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.001    0.001    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
     2805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
      320    0.001    0.000    0.026    0.000 overrides.py:187(decorator)
     1904    0.001    0.000    0.001    0.000 version.py:61(_compare)
      685    0.001    0.000    0.041    0.000 genericpath.py:39(isdir)
      469    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
     2044    0.001    0.000    0.002    0.000 castgraph.py:65(__getitem__)
       12    0.001    0.000    0.002    0.000 artist.py:1339(<listcomp>)
      169    0.001    0.000    0.044    0.000 context.py:717(load_additional_registries)
      776    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
      234    0.001    0.000    0.002    0.000 __init__.py:684(add)
      710    0.001    0.000    0.011    0.000 version.py:21(parse)
     1256    0.001    0.000    0.001    0.000 context.py:472(_lookup_global)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
     1346    0.001    0.000    0.001    0.000 functools.py:65(wraps)
     2854    0.001    0.000    0.001    0.000 std.py:165(colour)
       71    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
      158    0.001    0.000    0.002    0.000 colors.py:214(_to_rgba_no_colorcycle)
      776    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1606    0.001    0.000    0.002    0.000 event.py:193(broadcast)
      992    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
      520    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      624    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      244    0.001    0.000    0.002    0.000 version.py:248(__str__)
      502    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      917    0.001    0.000    0.001    0.000 context.py:518(insert_function)
